Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,6,205,10000
2,0,172,254,10000
3,0,378,254,10000
4,0,596,254,10000
5,0,813,254,10000
6,0,1030,254,0
7,0,1252,254,0
8,0,1471,254,0
9,0,1696,254,0
10,0,1921,254,0
11,0,2142,254,0
12,0,2369,254,0
13,0,2596,254,0
14,0,2826,254,0
15,0,3059,254,0
16,0,3289,254,0
17,0,3522,254,0
18,0,3757,254,0
19,0,3993,254,0
20,0,4229,254,0
21,0,4463,254,0
